iter	Passed	Remaining
0	1	185
1	3	190
2	5	170
3	6	154
4	7	146
5	9	141
6	10	141
7	11	137
8	13	138
9	15	142
10	17	141
11	19	145
12	21	140
13	22	140
14	24	139
15	26	137
16	27	134
17	29	136
18	31	133
19	32	130
20	34	128
21	36	129
22	38	127
23	39	125
24	40	122
25	42	120
26	43	117
27	44	115
28	46	112
29	47	110
30	48	109
31	50	107
32	52	105
33	53	104
34	55	103
35	56	101
36	58	99
37	59	97
38	60	95
39	62	93
40	64	92
41	65	89
42	67	88
43	68	87
44	70	85
45	71	84
46	73	82
47	74	80
48	75	78
49	76	76
50	78	75
51	80	74
52	82	73
53	86	73
54	90	73
55	96	75
56	98	74
57	99	72
58	101	70
59	102	68
60	104	66
61	105	64
62	106	62
63	108	61
64	110	59
65	113	58
66	115	56
67	117	55
68	118	53
69	119	51
70	121	49
71	123	47
72	126	46
73	128	45
74	130	43
75	132	41
76	135	40
77	137	38
78	140	37
79	143	35
80	145	34
81	147	32
82	148	30
83	150	28
84	151	26
85	153	25
86	158	23
87	159	21
88	161	19
89	162	18
90	164	16
91	166	14
92	168	12
93	172	11
94	173	9
95	175	7
96	176	5
97	177	3
98	179	1
99	181	0
